,Team Details,Team Details,Team Details,Splits,Splits,Splits,Team Details,Man/Zone,Man/Zone,Man/Zone,Man/Zone,Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Disguised Coverage,Disguised Coverage,Disguised Coverage,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press
2026,9,Cleveland Browns,1,2,TB,100,40,65,0.4,32.5,0.21,85,0.22,15,0.88,40,35,5,5,60,5,0,22.5,5,0,0,87.5,12.5,17.5,2.5
2026,10,Atlanta Falcons,1,2,CAR,100,39,23.1,0.58,64.1,0.58,61.5,0.64,38.5,0.58,25.6,15.4,10.3,0,23.1,10.3,0,35.9,12.8,5.1,25.6,74.4,0,25.6,10.3
2026,11,Baltimore Ravens,1,2,NO,100,39,20.5,0.33,76.9,0.42,41,0.3,59,0.46,41,28.2,12.8,10.3,10.3,23.1,0,28.2,23.1,2.6,0,64.1,35.9,12.8,7.7
2026,12,Carolina Panthers,1,2,ATL,100,39,15.4,-0.31,84.6,0.19,74.4,0.07,25.6,0.24,46.2,41,2.6,0,15.4,0,0,59,10.3,15.4,35.9,59,5.1,10.3,2.6
2026,13,Detroit Lions,1,2,BUF,100,38,7.9,0.52,86.8,0.64,63.2,0.49,36.8,1.5,36.8,31.6,5.3,0,7.9,18.4,0,55.3,5.3,7.9,50,44.7,0,13.2,5.3
2026,14,New Orleans Saints,1,2,BLT,100,38,13.2,0.1,84.2,0.48,76.3,0.44,23.7,0.34,23.7,21.1,2.6,0,13.2,0,0,63.2,10.5,10.5,34.2,65.8,0,10.5,2.6
2026,15,Houston Texans,1,2,CIN,100,36,5.6,0.92,94.4,0.42,52.8,0.2,47.2,0.74,33.3,22.2,11.1,0,5.6,13.9,0,47.2,19.4,13.9,0,83.3,16.7,5.6,0
2026,16,Washington Commanders,1,2,DAL,100,36,11.1,0.13,75,0.59,13.9,0.25,86.1,0.91,13.9,5.6,8.3,5.6,5.6,22.2,0,8.3,30.6,13.9,27.8,63.9,8.3,41.7,16.7
2026,17,Tampa Bay Buccaneers,1,2,CLV,100,35,37.1,0.46,62.9,0.59,68.6,0.24,31.4,1.19,34.3,14.3,20,2.9,34.3,17.1,0,34.3,11.4,0,31.4,68.6,0,22.9,5.7
2026,18,Los Angeles Rams,1,2,NYG,100,34,44.1,0.12,55.9,0.13,58.8,0.12,41.2,0.13,38.2,35.3,2.9,0,44.1,5.9,0,14.7,29.4,5.9,8.8,29.4,61.8,64.7,20.6
2026,19,Kansas City Chiefs,1,2,IND,100,33,45.5,0.33,54.5,0.4,54.5,0.21,45.5,0.55,39.4,24.2,12.1,9.1,24.2,9.1,9.1,30.3,9.1,6.1,30.3,60.6,9.1,33.3,6.1
2026,20,New York Giants,1,2,LA,100,33,24.2,0.86,63.6,0.61,63.6,0.65,36.4,1.22,39.4,30.3,9.1,0,24.2,9.1,0,39.4,3,12.1,24.2,75.8,0,33.3,12.1
2026,21,Los Angeles Chargers,1,2,LV,100,32,12.5,1.25,81.3,0.46,46.9,0.94,53.1,0.43,21.9,9.4,9.4,0,9.4,15.6,3.1,34.4,15.6,15.6,25,65.6,9.4,15.6,9.4
2026,22,New York Jets,1,2,GB,100,32,28.1,0.56,68.8,0.21,25,0.09,75,0.55,40.6,21.9,15.6,9.4,9.4,43.8,9.4,15.6,6.3,3.1,12.5,84.4,3.1,59.4,18.8
2026,23,Denver Broncos,1,2,JAX,100,31,41.9,0.18,54.8,0.25,48.4,0.16,51.6,0.26,22.6,12.9,9.7,0,35.5,9.7,6.5,12.9,9.7,22.6,9.7,90.3,0,22.6,3.2
2026,24,Jacksonville Jaguars,1,2,DEN,100,31,25.8,0.33,67.7,0.57,64.5,0.56,35.5,0.31,22.6,22.6,0,3.2,22.6,3.2,0,35.5,16.1,12.9,19.4,80.6,0,32.3,6.5
2026,25,Las Vegas Raiders,1,2,LAC,100,31,16.1,0.16,83.9,0.35,41.9,0.55,58.1,0.15,25.8,16.1,6.5,3.2,3.2,9.7,9.7,38.7,16.1,19.4,12.9,87.1,0,32.3,9.7
2026,26,Seattle Seahawks,1,2,ARZ,100,31,3.2,0.32,93.5,0.11,32.3,0,67.7,0.36,25.8,19.4,6.5,0,3.2,22.6,0,29,12.9,29,3.2,96.8,0,25.8,6.5
2026,27,San Francisco 49ers,1,2,MIA,100,28,0,,100,0.44,71.4,0.58,28.6,0.08,28.6,10.7,17.9,0,0,17.9,0,71.4,7.1,3.6,35.7,46.4,17.9,17.9,3.6
2026,28,Arizona Cardinals,1,2,SEA,100,27,11.1,1.55,81.5,0.56,33.3,0.15,66.7,1.12,18.5,11.1,7.4,3.7,7.4,18.5,0,25.9,14.8,22.2,44.4,44.4,11.1,18.5,3.7
2026,29,Pittsburgh Steelers,1,2,NE,100,27,25.9,0.63,66.7,0.22,51.9,0.21,48.1,0.41,29.6,3.7,25.9,0,25.9,29.6,0,22.2,14.8,0,18.5,70.4,11.1,33.3,3.7
2026,30,Miami Dolphins,1,2,SF,100,25,24,2.24,72,0.83,48,1.26,52,1.03,52,32,20,8,16,16,0,32,12,12,52,48,0,16,0
2026,31,Chicago Bears,1,2,MIN,100,24,41.7,0.47,58.3,0.1,75,0.32,25,0.07,41.7,33.3,4.2,0,37.5,8.3,4.2,37.5,8.3,4.2,20.8,75,4.2,37.5,12.5
2026,32,Philadelphia Eagles,1,2,TEN,100,24,12.5,2.11,79.2,0.36,50,0.5,50,0.65,45.8,45.8,0,8.3,4.2,4.2,0,45.8,8.3,20.8,12.5,70.8,12.5,4.2,0
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-23 21:56 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
