,Team Details,Team Details,Team Details,Team Details,Man/Zone,Man/Zone,Man/Zone,Man/Zone,Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Middle of Field Look (Closed/Open),Disguised Coverage,Disguised Coverage,Disguised Coverage,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Coverages,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press,Personnel & Press
2026,14,Cincinnati Bengals,1,36,36.1,0.37,52.8,0.11,52.8,0.26,47.2,0.52,19.4,19.4,0,2.8,30.6,5.6,0,19.4,0,27.8,2.8,91.7,5.6,13.9,2.8
2026,15,Los Angeles Rams,1,36,13.9,1.3,77.8,0.53,41.7,0.55,58.3,0.65,36.1,36.1,0,2.8,11.1,5.6,0,30.6,27.8,13.9,13.9,58.3,27.8,22.2,0
2026,16,New York Giants,1,36,27.8,0.58,72.2,0.37,33.3,0.22,66.7,0.53,22.2,16.7,5.6,8.3,19.4,11.1,0,13.9,41.7,5.6,16.7,77.8,5.6,55.6,22.2
2026,17,Arizona Cardinals,1,35,0,,85.7,0.3,22.9,0.35,77.1,0.42,8.6,0,8.6,0,0,0,0,22.9,20,42.9,34.3,65.7,0,17.1,2.9
2026,18,Baltimore Ravens,1,34,20.6,0.29,76.5,0.1,32.4,0.34,67.6,0.23,35.3,26.5,8.8,8.8,8.8,5.9,0,23.5,29.4,17.6,2.9,47.1,50,32.4,11.8
2026,19,Dallas Cowboys,1,33,18.2,0.29,75.8,0.48,54.5,0.49,45.5,0.89,42.4,42.4,0,0,18.2,3,0,33.3,30.3,9.1,24.2,69.7,6.1,18.2,3
2026,20,Denver Broncos,1,33,33.3,0.82,63.6,0.47,54.5,0.38,45.5,1.08,18.2,6.1,12.1,3,27.3,12.1,0,27.3,6.1,18.2,12.1,75.8,12.1,15.2,3
2026,21,Kansas City Chiefs,1,33,36.4,0.04,63.6,0.34,45.5,0.03,54.5,0.39,33.3,30.3,3,0,27.3,15.2,9.1,18.2,24.2,6.1,3,69.7,24.2,21.2,9.1
2026,22,Washington Commanders,1,33,15.2,1.12,84.8,0.69,30.3,0.64,69.7,0.81,33.3,15.2,18.2,0,12.1,33.3,3,18.2,18.2,15.2,12.1,87.9,0,12.1,0
2026,23,Houston Texans,1,32,21.9,1.13,78.1,0.86,78.1,0.58,21.9,2.14,37.5,28.1,9.4,0,21.9,15.6,0,56.3,3.1,3.1,6.3,90.6,0,18.8,6.3
2026,24,Miami Dolphins,1,31,19.4,1.61,71,0.11,71,0.68,29,0.2,12.9,3.2,9.7,0,19.4,6.5,0,45.2,3.2,16.1,54.8,45.2,0,41.9,3.2
2026,25,Green Bay Packers,1,30,10,1.24,86.7,0.54,20,0.31,80,0.67,33.3,13.3,20,6.7,3.3,23.3,0,16.7,23.3,23.3,26.7,73.3,0,46.7,10
2026,26,Indianapolis Colts,1,30,53.3,0.62,40,0.8,56.7,0.97,43.3,0.25,16.7,13.3,3.3,10,43.3,10,0,13.3,10,6.7,23.3,70,6.7,36.7,13.3
2026,27,Jacksonville Jaguars,1,30,13.3,0.47,83.3,0.41,43.3,0.25,56.7,0.52,23.3,16.7,6.7,0,13.3,0,0,30,33.3,20,26.7,53.3,16.7,40,10
2026,28,San Francisco 49ers,1,29,17.2,0.18,79.3,0.19,48.3,0.2,51.7,0.19,44.8,37.9,6.9,3.4,13.8,0,0,34.5,10.3,34.5,20.7,55.2,24.1,24.1,10.3
2026,29,New England Patriots,1,27,33.3,0.16,66.7,0.67,44.4,0.35,55.6,0.61,44.4,14.8,29.6,7.4,25.9,29.6,0,18.5,18.5,0,7.4,92.6,0,29.6,18.5
2026,30,Pittsburgh Steelers,1,26,0,,100,0.3,42.3,-0.1,57.7,0.59,23.1,23.1,0,0,0,0,0,42.3,50,7.7,19.2,80.8,0,11.5,3.8
2026,31,Tennessee Titans,1,26,11.5,0.01,84.6,0.4,50,0.51,50,0.23,38.5,38.5,0,3.8,7.7,0,0,42.3,34.6,7.7,19.2,80.8,0,11.5,3.8
2026,32,Cleveland Browns,1,24,12.5,1.97,87.5,0.95,66.7,0.93,33.3,1.37,20.8,20.8,0,0,12.5,12.5,0,54.2,16.7,4.2,16.7,83.3,0,41.7,16.7
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-16 16:29 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
