season,team,conference,division,offensive_coordinator,oc_play_caller,defensive_coordinator,notes
2024,Buffalo Bills,AFC,AFC East,Joe Brady,OC,Bobby Babich,
2024,Carolina Panthers,NFC,NFC South,Brad Idzik,OC,Ejiro Evero,Canales 2nd year as HC
2024,Chicago Bears,NFC,NFC North,Shane Waldron,OC,Eric Washington,Waldron fired mid-season; Thomas Brown interim OC
2024,Cincinnati Bengals,AFC,AFC North,Dan Pitcher,OC,Lou Anarumo,Callahan left as HC in TEN; Pitcher promoted
2024,Cleveland Browns,AFC,AFC North,Ken Dorsey,OC,Jim Schwartz,Stefanski retained despite QB struggles
2024,Dallas Cowboys,NFC,NFC East,Brian Schottenheimer,OC,Mike Zimmer,Quinn left as HC in SEA
2024,Denver Broncos,AFC,AFC West,Joe Lombardi,OC,Vance Joseph,Payton 2nd year
2024,Detroit Lions,NFC,NFC North,Ben Johnson,OC,Aaron Glenn,Johnson hired as Bears HC after season
2024,Green Bay Packers,NFC,NFC North,Adam Stenavich,OC,Jeff Hafley,Barry fired; Hafley 1st year as DC
2024,Houston Texans,AFC,AFC South,Bobby Slowik,OC,Matt Burke,
2024,Indianapolis Colts,AFC,AFC South,Jim Bob Cooter,OC,Lou Anarumo,Anarumo left CIN after 5 years
2024,Jacksonville Jaguars,AFC,AFC South,Press Taylor,OC,Ryan Nielsen,Pederson fired after season
2024,Kansas City Chiefs,AFC,AFC West,Matt Nagy,OC,Steve Spagnuolo,Reid called plays; 3-peat SB run
2024,Las Vegas Raiders,AFC,AFC West,Luke Getsy,OC,Patrick Graham,Getsy fired mid-season; Pierce called plays
2024,Los Angeles Chargers,AFC,AFC West,Greg Roman,OC,Jesse Minter,Harbaugh 1st year as HC
2024,Los Angeles Rams,NFC,NFC West,Mike LaFleur,HC,Raheem Morris,McVay called plays; Morris left as HC in ATL
2024,Miami Dolphins,AFC,AFC East,Frank Smith,HC,Anthony Weaver,McDaniel called plays; Fangio mutual parting
2024,Minnesota Vikings,NFC,NFC North,Wes Phillips,OC,Brian Flores,
2024,New England Patriots,AFC,AFC East,Alex Van Pelt,OC,DeMarcus Covington,Mayo 1st/only year as HC; fired after season
2024,New Orleans Saints,NFC,NFC South,Klint Kubiak,OC,Joe Woods,Allen fired mid-season
2024,New York Giants,NFC,NFC East,Mike Kafka,OC,Shane Bowen,Daboll fired after season
2024,New York Jets,AFC,AFC East,Nathaniel Hackett,OC,Jeff Ulbrich,Saleh fired mid-season; Ulbrich interim HC then back to DC
2024,Philadelphia Eagles,NFC,NFC East,Kellen Moore,OC,Vic Fangio,SB LIX appearance
2024,Pittsburgh Steelers,AFC,AFC North,Arthur Smith,OC,Teryl Austin,
2024,San Francisco 49ers,NFC,NFC West,Kyle Shanahan,HC,Nick Sorensen,Shanahan called plays; Wilks let go
2024,Seattle Seahawks,NFC,NFC West,Ryan Grubb,OC,Aden Durde,Macdonald 1st year as HC; Carroll gone
2024,Tampa Bay Buccaneers,NFC,NFC South,Liam Coen,OC,Kacy Rodgers,Bowles retained
2024,Tennessee Titans,AFC,AFC South,Nick Holz,OC,Dennard Wilson,Callahan 1st year as HC
2024,Washington Commanders,NFC,NFC East,Kliff Kingsbury,OC,Joe Whitt Jr.,Quinn 1st year as HC; Commanders to SB LIX
2025,Arizona Cardinals,NFC,NFC West,Drew Petzing,OC,Nick Rallis,
2025,Atlanta Falcons,NFC,NFC South,Zac Robinson,OC,Jeff Ulbrich,
2025,Baltimore Ravens,AFC,AFC North,Todd Monken,OC,Zach Orr,
2025,Buffalo Bills,AFC,AFC East,Joe Brady,OC,Bobby Babich,
2025,Carolina Panthers,NFC,NFC South,Brad Idzik,OC,Ejiro Evero,
2025,Chicago Bears,NFC,NFC North,Declan Doyle,OC,Dennis Allen,Johnson 1st year as HC; Glenn left as HC in NYJ
2025,Cincinnati Bengals,AFC,AFC North,Dan Pitcher,OC,Lou Anarumo,
2025,Cleveland Browns,AFC,AFC North,Tommy Rees,OC,Jim Schwartz,
2025,Dallas Cowboys,NFC,NFC East,Klayton Adams,OC,Mike Zimmer,
2025,Denver Broncos,AFC,AFC West,Joe Lombardi,OC,Vance Joseph,
2025,Detroit Lions,NFC,NFC North,John Morton,OC,Aaron Glenn,Glenn hired as Jets HC; Morton promoted
2025,Green Bay Packers,NFC,NFC North,Adam Stenavich,OC,Jeff Hafley,
2025,Houston Texans,AFC,AFC South,Bobby Slowik,OC,Matt Burke,
2025,Indianapolis Colts,AFC,AFC South,Jim Bob Cooter,OC,Lou Anarumo,
2025,Jacksonville Jaguars,AFC,AFC South,Grant Udinski,OC,Ryan Nielsen,
2025,Kansas City Chiefs,AFC,AFC West,Matt Nagy,OC,Steve Spagnuolo,Reid called plays
2025,Las Vegas Raiders,AFC,AFC West,Chip Kelly,OC,Luke Getsy,
2025,Los Angeles Chargers,AFC,AFC West,Greg Roman,OC,Jesse Minter,
2025,Los Angeles Rams,NFC,NFC West,Mike LaFleur,HC,Raheem Morris,McVay called plays; Morris hired as Falcons HC after 2024 - returning here
2025,Miami Dolphins,AFC,AFC East,Frank Smith,HC,Anthony Weaver,McDaniel called plays
2025,Minnesota Vikings,NFC,NFC North,Wes Phillips,OC,Brian Flores,
2025,New England Patriots,AFC,AFC East,Josh McDaniels,OC,DeMarcus Covington,Vrabel 1st year as HC
2025,New Orleans Saints,NFC,NFC South,Doug Nussmeier,OC,Joe Woods,
2025,New York Giants,NFC,NFC East,Mike Kafka,OC,Shane Bowen,Daboll fired; new HC
2025,New York Jets,AFC,AFC East,Todd Downing,OC,Jeff Ulbrich,Glenn hired as HC
2025,Philadelphia Eagles,NFC,NFC East,Kevin Patullo,OC,Vic Fangio,Moore left as HC in SEA
2025,Pittsburgh Steelers,AFC,AFC North,Arthur Smith,OC,Teryl Austin,
2025,San Francisco 49ers,NFC,NFC West,Klay Kubiak,OC,Nick Sorensen,
2025,Seattle Seahawks,NFC,NFC West,Klint Kubiak,OC,Aden Durde,Quinn 1st year as HC
2025,Tampa Bay Buccaneers,NFC,NFC South,Josh Grizzard,OC,Kacy Rodgers,Coen hired as Titans HC
2025,Tennessee Titans,AFC,AFC South,Nick Holz,OC,Dennard Wilson,Coen hired as HC
2025,Washington Commanders,NFC,NFC East,Kliff Kingsbury,OC,Joe Whitt Jr.,
2026,Arizona Cardinals,NFC,NFC West,Nathaniel Hackett,OC,Nick Rallis,LaFleur 1st year as HC; Hackett redemption arc after DEN disaster
2026,Atlanta Falcons,NFC,NFC South,Tommy Rees,OC,Jeff Ulbrich,Stefanski 1st year as HC; Rees from CLE
2026,Baltimore Ravens,AFC,AFC North,Declan Doyle,OC,Anthony Weaver,Minter 1st year as HC; Harbaugh fired after 18 seasons
2026,Buffalo Bills,AFC,AFC East,Pete Carmichael Jr.,OC,Jim Leonhard,Brady 1st year as HC; McDermott fired
2026,Carolina Panthers,NFC,NFC South,Brad Idzik,OC,Ejiro Evero,Canales 3rd year as HC
2026,Chicago Bears,NFC,NFC North,Press Taylor,OC,Dennis Allen,Johnson 1st year as HC; Taylor promoted from PGC
2026,Cincinnati Bengals,AFC,AFC North,Dan Pitcher,OC,Al Golden,Taylor retained; new DC
2026,Cleveland Browns,AFC,AFC North,Travis Switzer,OC,Mike Rutenberg,Monken 1st year as HC; Switzer from BAL run game
2026,Dallas Cowboys,NFC,NFC East,Klayton Adams,OC,Christian Parker,Schottenheimer 1st year as HC
2026,Denver Broncos,AFC,AFC West,Davis Webb,OC,Vance Joseph,Payton 3rd year as HC; Webb promoted from QB coach
2026,Detroit Lions,NFC,NFC North,Drew Petzing,OC,Kelvin Sheppard,Campbell retained; Petzing from ARI
2026,Green Bay Packers,NFC,NFC North,Adam Stenavich,OC,Jonathan Gannon,LaFleur retained; Gannon from ARI HC role
2026,Houston Texans,AFC,AFC South,Nick Caley,OC,Matt Burke,Ryans retained
2026,Indianapolis Colts,AFC,AFC South,Jim Bob Cooter,OC,Lou Anarumo,Steichen retained
2026,Jacksonville Jaguars,AFC,AFC South,Grant Udinski,OC,Anthony Campanile,Coen 1st year as HC
2026,Kansas City Chiefs,AFC,AFC West,Eric Bieniemy,HC,Steve Spagnuolo,Reid calls plays; Bieniemy returns to KC
2026,Las Vegas Raiders,AFC,AFC West,Andrew Janocko,OC,Rob Leonard,Klint Kubiak 1st year as HC; new staff
2026,Los Angeles Chargers,AFC,AFC West,Mike McDaniel,OC,Chris O'Leary,Harbaugh 2nd year as HC; McDaniel steps down as MIA HC
2026,Los Angeles Rams,NFC,NFC West,Nate Scheelhaase,OC,Chris Shula,McVay retained; Scheelhaase rapid rise
2026,Miami Dolphins,AFC,AFC East,Bobby Slowik,OC,Sean Duggan,Hafley 1st year as HC; McDaniel left for LAC OC
2026,Minnesota Vikings,NFC,NFC North,Wes Phillips,OC,Brian Flores,O'Connell retained
2026,New England Patriots,AFC,AFC East,Josh McDaniels,OC,Zak Kuhr,Vrabel 2nd year as HC
2026,New Orleans Saints,NFC,NFC South,Doug Nussmeier,OC,Brandon Staley,Moore 1st year as HC
2026,New York Giants,NFC,NFC East,Matt Nagy,OC,Dennard Wilson,Harbaugh 1st year as HC; Daboll fired
2026,New York Jets,AFC,AFC East,Frank Reich,OC,Brian Duker,Glenn 1st year as HC
2026,Philadelphia Eagles,NFC,NFC East,Sean Mannion,OC,Vic Fangio,Sirianni retained; Moore left as HC in NO
2026,Pittsburgh Steelers,AFC,AFC North,Brian Angelichio,OC,Patrick Graham,McCarthy 1st year as HC; Tomlin resigned after 19 years
2026,San Francisco 49ers,NFC,NFC West,Klay Kubiak,OC,Raheem Morris,Shanahan retained; Morris returns as DC
2026,Seattle Seahawks,NFC,NFC West,Brian Fleury,OC,Aden Durde,Macdonald 2nd year as HC; defending SB champs
2026,Tampa Bay Buccaneers,NFC,NFC South,Zac Robinson,OC,,Bowles retained; Robinson from ATL OC; DC TBD
2026,Tennessee Titans,AFC,AFC South,Brian Daboll,OC,Gus Bradley,Saleh 1st year as HC; Daboll after Giants HC firing
2026,Washington Commanders,NFC,NFC East,David Blough,OC,Daronte Jones,Quinn 2nd year as HC
